category,en,ja,ex,filename,has_mp3,recording
pitch,Challenge,チャレンジしろ,Challenge for the ball.,Challenge.mp3,YES,daniel_tts
pitch,Block it,ブロックしろ,Block it.,Block_it.mp3,YES,daniel_tts
pitch,Track back,戻れ,Track back quickly.,Track_back.mp3,YES,daniel_tts
pitch,Match his run,ランについていけ,Match his run.,Match_his_run.mp3,YES,daniel_tts
pitch,Stay goal side,ゴール側を取れ,Stay goal side.,Stay_goal_side.mp3,YES,daniel_tts
pitch,Clear it,クリアしろ,Clear it now.,Clear_it.mp3,YES,daniel_tts
pitch,Head it away,ヘディングで逃がせ,Head it away.,Head_it_away.mp3,YES,daniel_tts
pitch,Step out,前へ出ろ,Step out and press.,Step_out.mp3,YES,daniel_tts
pitch,Mark him,マークしろ,Mark him tightly.,Mark_him.mp3,YES,daniel_tts
pitch,Keeper,キーパーだ,Keeper!,Keeper.mp3,YES,daniel_tts
pitch,Mine,俺のだ,Mine!,Mine.mp3,YES,daniel_tts
pitch,Push out,ラインを上げろ,Push out!,Push_out.mp3,YES,daniel_tts
pitch,Step up,上げろ,Step up together.,Step_up.mp3,YES,daniel_tts
pitch,Wall,壁作れ,Build the wall.,Wall.mp3,YES,daniel_tts
pitch,Quick,急げ,Quick release.,Quick.mp3,YES,daniel_tts
pitch,Slow it down,落ち着かせろ,Slow it down.,Slow_it_down.mp3,YES,daniel_tts
pitch,Claim it,キャッチしろ,Claim it!,Claim_it.mp3,YES,daniel_tts
pitch,Catch,キャッチ,Catch if you can.,Catch.mp3,YES,daniel_tts
pitch,Punch,パンチしろ,Punch it away.,Punch.mp3,YES,daniel_tts
pitch,Play short,ショートで始めろ,Play short.,Play_short.mp3,YES,daniel_tts
pitch,Play long,ロングで行け,Play long.,Play_long.mp3,YES,daniel_tts
pitch,Front post,ニアゾーン,Attack the front post.,Front_post.mp3,YES,daniel_tts
pitch,Back post,ファーゾーン,Back post runner.,Back_post.mp3,YES,daniel_tts
pitch,Edge,エリア外縁,Stay on the edge.,Edge.mp3,YES,daniel_tts
pitch,Second ball,セカンドボール,Win the second ball.,Second_ball.mp3,YES,original
pitch,Attack it,飛び込め,Attack it aggressively.,Attack_it.mp3,YES,daniel_tts
pitch,Delivery,キックの質,Great delivery.,Delivery.mp3,YES,daniel_tts
pitch,Inswinger,内側へ曲がるボール,Inswinger coming in.,Inswinger.mp3,YES,daniel_tts
pitch,Outswinger,外へ逃げるボール,Outswinger delivery.,Outswinger.mp3,YES,daniel_tts
pitch,Flick on,そらせ,Flick it on.,Flick_on.mp3,YES,daniel_tts
pitch,Mark up,マーク付け,Mark up quickly.,Mark_up.mp3,YES,daniel_tts
pitch,Pick him up,捕まえろ,Pick him up.,Pick_him_up.mp3,YES,daniel_tts
pitch,Stay with him,離れるな,Stay with him.,Stay_with_him.mp3,YES,daniel_tts
pitch,Zonal,ゾーン守備,We defend zonally.,Zonal.mp3,YES,daniel_tts
pitch,Man mark,マンツーマン,Man mark number nine.,Man_mark.mp3,YES,daniel_tts
pitch,Rebound,こぼれ球,Watch the rebound.,Rebound.mp3,YES,daniel_tts
pitch,Well done,ナイス,"Well done, lads.",Well_done.mp3,YES,daniel_tts
pitch,Good ball,いいボール,Great ball in.,Good_ball.mp3,YES,daniel_tts
pitch,Great effort,ナイスチャレンジ,Great effort.,Great_effort.mp3,YES,daniel_tts
pitch,Unlucky,惜しい,"Unlucky, keep going.",Unlucky.mp3,YES,daniel_tts
pitch,Again,もう一回,"Again, again!",Again.mp3,YES,daniel_tts
pitch,Keep going,続けろ,Keep going.,Keep_going.mp3,YES,daniel_tts
pitch,Relax,落ち着け,Relax on the ball.,Relax.mp3,YES,daniel_tts
pitch,Calm,冷静に,Stay calm.,Calm.mp3,YES,daniel_tts
pitch,Focus,集中しろ,Focus now.,Focus.mp3,YES,daniel_tts
pitch,Switch on,集中を切らすな,Switch on!,Switch_on.mp3,YES,original
pitch,Wake up,目を覚ませ,"Wake up, boys.",Wake_up.mp3,YES,daniel_tts
pitch,Organise,整理しろ,Organise yourselves.,Organise.mp3,YES,daniel_tts
pitch,Communicate,声を出せ,Communicate more.,Communicate.mp3,YES,daniel_tts
pitch,Talk,声を出せ,Talk to each other.,Talk.mp3,YES,daniel_tts
pitch,Help him,助けろ,Help him out.,Help_him.mp3,YES,daniel_tts
pitch,Support,サポートしろ,Give him support.,Support.mp3,YES,daniel_tts
pitch,Be patient,焦るな,Be patient.,Be_patient.mp3,YES,daniel_tts
pitch,Move it,ボールを動かせ,Move it quicker.,Move_it.mp3,YES,original
pitch,Quicker,もっと速く,"Quicker, quicker!",Quicker.mp3,YES,daniel_tts
pitch,Slower,落ち着け,Slower now.,Slower.mp3,YES,daniel_tts
pitch,Check shoulder,首を振れ,Check your shoulder.,Check_shoulder.mp3,YES,daniel_tts
pitch,Half turn,半身で受けろ,Receive on the half turn.,Half_turn.mp3,YES,daniel_tts
pitch,Receive,受けろ,Receive and play.,Receive.mp3,YES,daniel_tts
pitch,Bounce pass,ワンタッチで落とせ,Bounce it back.,Bounce_pass.mp3,YES,daniel_tts
pitch,Between lines,ライン間,Find space between lines.,Between_lines.mp3,YES,daniel_tts
pitch,Play through,縦を通せ,Play through midfield.,Play_through.mp3,YES,daniel_tts
pitch,Split them,割れ,Split the centre-backs.,Split_them.mp3,YES,daniel_tts
pitch,Dictate tempo,テンポを作れ,Dictate the tempo.,Dictate_tempo.mp3,YES,daniel_tts
pitch,Keep possession,ボールを保持しろ,Keep possession.,Keep_possession.mp3,YES,daniel_tts
pitch,Find space,スペースを探せ,Find space constantly.,Find_space.mp3,YES,daniel_tts
pitch,Isolate him,1対1を作れ,Isolate their full-back.,Isolate_him.mp3,YES,daniel_tts
pitch,Beat your man,抜き切れ,Beat your man.,Beat_your_man.mp3,YES,daniel_tts
pitch,Stretch them,幅を取れ,Stretch the defence.,Stretch_them.mp3,YES,daniel_tts
pitch,Hug the touchline,タッチライン際に張れ,Hug the touchline.,Hug_the_touchline.mp3,YES,daniel_tts
pitch,Cut inside,中へ入れ,Cut inside and shoot.,Cut_inside.mp3,YES,daniel_tts
pitch,Stay wide,幅を維持しろ,Stay wide.,Stay_wide.mp3,YES,original
pitch,Attack space,スペースを突け,Attack the space behind.,Attack_space.mp3,YES,daniel_tts
pitch,Run beyond,裏へ抜けろ,Run beyond the line.,Run_beyond.mp3,YES,daniel_tts
pitch,Cross early,早くクロス,Cross early.,Cross_early.mp3,YES,daniel_tts
pitch,Pin him,CBを固定しろ,Pin the centre-back.,Pin_him.mp3,YES,daniel_tts
pitch,Spin,裏へ回れ,Spin in behind.,Spin.mp3,YES,daniel_tts
pitch,Hold it up,収めろ,Hold it up.,Hold_it_up.mp3,YES,original
pitch,Lay it off,落とせ,Lay it off first time.,Lay_it_off.mp3,YES,daniel_tts
pitch,Occupy centre-back,CBを引き付けろ,Occupy both centre-backs.,Occupy_centre-back.mp3,YES,daniel_tts
pitch,Near-post run,ニアへ走れ,Make a near-post run.,Near-post_run.mp3,YES,daniel_tts
pitch,Far-post run,ファーへ走れ,Attack the far post.,Far-post_run.mp3,YES,daniel_tts
pitch,Attack the cross,クロスへ飛び込め,Attack the cross.,Attack_the_cross.mp3,YES,daniel_tts
pitch,Stay central,中央に残れ,Stay central.,Stay_central.mp3,YES,daniel_tts
pitch,Get across him,前へ入れ,Get across the defender.,Get_across_him.mp3,YES,daniel_tts
pitch,Hold the line,ラインを維持しろ,Hold the line.,Hold_the_line.mp3,YES,daniel_tts
pitch,Step in,潰しに行け,Step in aggressively.,Step_in.mp3,YES,daniel_tts
pitch,Drop together,全員で下がれ,Drop together.,Drop_together.mp3,YES,daniel_tts
pitch,Stay connected,距離感を保て,Stay connected.,Stay_connected.mp3,YES,daniel_tts
pitch,Cover across,横をカバー,Cover across.,Cover_across.mp3,YES,daniel_tts
pitch,Shift across,スライドしろ,Shift across quickly.,Shift_across.mp3,YES,daniel_tts
pitch,Clear danger,危険を排除しろ,Clear the danger.,Clear_danger.mp3,YES,daniel_tts
pitch,Win first contact,最初の競り合いを勝て,Win first contact.,Win_first_contact.mp3,YES,daniel_tts
pitch,Squeeze up,押し上げろ,Squeeze up together.,Squeeze_up.mp3,YES,original
pitch,Control the game,試合を支配しろ,Control the game.,Control_the_game.mp3,YES,daniel_tts
pitch,Manage the game,試合を管理しろ,Manage the game now.,Manage_the_game.mp3,YES,daniel_tts
pitch,Kill the game,試合を終わらせろ,Kill the game with another goal.,Kill_the_game.mp3,YES,daniel_tts
pitch,See it out,逃げ切れ,See it out.,See_it_out.mp3,YES,original
pitch,Slow the tempo,テンポを落とせ,Slow the tempo.,Slow_the_tempo.mp3,YES,daniel_tts
pitch,Raise the tempo,テンポを上げろ,Raise the tempo.,Raise_the_tempo.mp3,YES,daniel_tts
pitch,Win second balls,セカンドを拾え,Win second balls.,Win_second_balls.mp3,YES,daniel_tts
pitch,Protect the lead,リードを守れ,Protect the lead.,Protect_the_lead.mp3,YES,daniel_tts
pitch,Play through pressure,プレッシャーを剥がせ,Play through pressure.,Play_through_pressure.mp3,YES,daniel_tts
pitch,Break the press,プレスを外せ,Break the press.,Break_the_press.mp3,YES,daniel_tts
pitch,attacking third,アタッキングサード,attacking third,attacking_third.mp3,YES,daniel_tts
pitch,defensive third,ディフェンシブサード,defensive third,defensive_third.mp3,YES,daniel_tts
pitch,middle third,ミドルサード,middle third,middle_third.mp3,YES,daniel_tts
pitch,final third,ファイナルサード,final third,final_third.mp3,YES,daniel_tts
pitch,half space,ハーフスペース,half space,half_space.mp3,YES,daniel_tts
pitch,central area,中央エリア,central area,central_area.mp3,YES,daniel_tts
pitch,wide area,サイドエリア,wide area,wide_area.mp3,YES,daniel_tts
pitch,corridor,レーン,corridor,corridor.mp3,YES,daniel_tts
pitch,channel,チャンネル,channel,channel.mp3,YES,daniel_tts
pitch,inside channel,インサイドチャンネル,inside channel,inside_channel.mp3,YES,daniel_tts
pitch,outside channel,アウトサイドチャンネル,outside channel,outside_channel.mp3,YES,daniel_tts
pitch,low block,ローブロック,low block,low_block.mp3,YES,daniel_tts
pitch,mid block,ミドルブロック,mid block,mid_block.mp3,YES,daniel_tts
pitch,high block,ハイブロック,high block,high_block.mp3,YES,daniel_tts
pitch,high press,ハイプレス,high press,high_press.mp3,YES,daniel_tts
pitch,counter press,即時奪回,counter press,counter_press.mp3,YES,daniel_tts
pitch,gegenpress,ゲーゲンプレス,gegenpress,gegenpress.mp3,YES,daniel_tts
pitch,pressing trigger,プレスの合図,pressing trigger,pressing_trigger.mp3,YES,daniel_tts
pitch,press resistance,プレス耐性,press resistance,press_resistance.mp3,YES,daniel_tts
pitch,compact shape,コンパクトな陣形,compact shape,compact_shape.mp3,YES,daniel_tts
pitch,team shape,チームの形,team shape,team_shape.mp3,YES,daniel_tts
pitch,rest defence,ネガトラ配置,rest defence,rest_defence.mp3,YES,daniel_tts
pitch,transition,トランジション,transition,transition.mp3,YES,daniel_tts
pitch,positive transition,攻撃への切替,positive transition,positive_transition.mp3,YES,daniel_tts
pitch,negative transition,守備への切替,negative transition,negative_transition.mp3,YES,daniel_tts
pitch,counter attack,カウンター,counter attack,counter_attack.mp3,YES,daniel_tts
pitch,build-up,ビルドアップ,build-up,build-up.mp3,YES,daniel_tts
pitch,possession play,ポゼッション,possession play,possession_play.mp3,YES,daniel_tts
pitch,direct play,ダイレクトプレー,direct play,direct_play.mp3,YES,daniel_tts
pitch,route one,ロングボール戦術,route one,route_one.mp3,YES,daniel_tts
pitch,switch of play,サイドチェンジ,switch of play,switch_of_play.mp3,YES,daniel_tts
pitch,overload,数的優位,overload,overload.mp3,YES,daniel_tts
pitch,underload,数的不利,underload,underload.mp3,YES,daniel_tts
pitch,isolation,1対1状況,isolation,isolation.mp3,YES,daniel_tts
pitch,rotation,ポジションチェンジ,rotation,rotation.mp3,YES,daniel_tts
pitch,third man run,3人目の動き,third man run,third_man_run.mp3,YES,daniel_tts
pitch,wall pass,壁パス,wall pass,wall_pass.mp3,YES,daniel_tts
pitch,combination play,コンビネーション,combination play,combination_play.mp3,YES,daniel_tts
pitch,penetration,縦への侵入,penetration,penetration.mp3,YES,daniel_tts
pitch,line breaking pass,ライン間パス,line breaking pass,line_breaking_pass.mp3,YES,daniel_tts
pitch,vertical pass,縦パス,vertical pass,vertical_pass.mp3,YES,daniel_tts
pitch,horizontal pass,横パス,horizontal pass,horizontal_pass.mp3,YES,daniel_tts
pitch,diagonal pass,斜めパス,diagonal pass,diagonal_pass.mp3,YES,daniel_tts
pitch,switch play,展開変更,switch play,switch_play.mp3,YES,daniel_tts
pitch,deep block,撤退守備,deep block,deep_block.mp3,YES,daniel_tts
pitch,high line,ハイライン,high line,high_line.mp3,YES,daniel_tts
pitch,offside trap,オフサイドトラップ,offside trap,offside_trap.mp3,YES,daniel_tts
pitch,man marking,マンツーマン,man marking,man_marking.mp3,YES,daniel_tts
pitch,zonal marking,ゾーン守備,zonal marking,zonal_marking.mp3,YES,daniel_tts
pitch,hybrid marking,ハイブリッド守備,hybrid marking,hybrid_marking.mp3,YES,daniel_tts
pitch,centre-back,センターバック,centre-back,centre-back.mp3,YES,daniel_tts
pitch,full-back,サイドバック,full-back,full-back.mp3,YES,daniel_tts
pitch,wing-back,ウイングバック,wing-back,wing-back.mp3,YES,daniel_tts
pitch,holding midfielder,アンカー,holding midfielder,holding_midfielder.mp3,YES,daniel_tts
pitch,defensive midfielder,守備的MF,defensive midfielder,defensive_midfielder.mp3,YES,daniel_tts
pitch,central midfielder,セントラルMF,central midfielder,central_midfielder.mp3,YES,daniel_tts
pitch,box-to-box midfielder,ボックス・トゥ・ボックス,box-to-box midfielder,box-to-box_midfielder.mp3,YES,daniel_tts
pitch,attacking midfielder,攻撃的MF,attacking midfielder,attacking_midfielder.mp3,YES,daniel_tts
pitch,number six,6番,number six,number_six.mp3,YES,daniel_tts
pitch,number eight,8番,number eight,number_eight.mp3,YES,daniel_tts
pitch,number ten,10番,number ten,number_ten.mp3,YES,daniel_tts
